output noise; V/sqrt(Hz) X,output noise; V/sqrt(Hz) Y
1,3.681106849021682e-06
1.318256738556407,3.207386108326583e-06
1.737800828749376,2.794980994376515e-06
2.290867652767774,2.436007139811596e-06
3.019951720402017,2.123601466725909e-06
3.981071705534974,1.851790900893843e-06
5.248074602497729,1.615378060790866e-06
6.918309709189369,1.409841718643648e-06
9.120108393559104,1.231250106925566e-06
12.02264434617414,1.076185382434242e-06
15.84893192461115,9.416777678699133e-07
20.89296130854041,8.251480765249628e-07
27.54228703338169,7.24357503524084e-07
36.30780547701018,6.373637621290881e-07
47.8630092322639,5.62482901590011e-07
63.09573444801941,4.982565472065479e-07
83.17637711026723,4.434250075257761e-07
109.6478196143187,3.969079968460148e-07
144.543977074593,3.577972742543534e-07
190.546071796325,3.253709792821477e-07
251.1886431509585,2.991530088171299e-07
331.1311214825917,2.790813022637924e-07
436.5158322401668,2.66000880849561e-07
575.4399373371582,2.634736368933574e-07
758.5775750291855,2.887552629601138e-07
1000.000000000002,1.863724338652958e-07
1318.25673855641,2.628179256859657e-07
1737.80082874938,2.565117772758026e-07
2290.867652767779,2.384522352836887e-07
3019.951720402025,4.970869528186411e-07
3981.071705534984,3.286806334899489e-07
5248.074602497742,1.386998178141733e-07
6918.309709189386,1.403839095318801e-07
9120.108393559127,1.264856352084e-07
12022.64434617417,1.160978135859748e-07
15848.93192461119,1.199390906313912e-07
20892.96130854047,1.282993624592253e-07
27542.28703338177,1.404230463975862e-07
36307.80547701028,1.556635651079647e-07
47863.00923226403,1.731587343509366e-07
63095.73444801958,1.914280030536158e-07
83176.37711026745,2.076807924912232e-07
109647.819614319,2.167430334358642e-07
144543.9770745934,2.098652659360896e-07
190546.0717963256,1.751261613829806e-07
251188.6431509592,1.056118608801502e-07
